log_path,accuracy,valid.accuracy,init.test.accuracy,init.valid.accuracy,epoch
/watson/data/ml/results/cbt-dist/111/111_-ehd_384_-sed_128.out,0.6304,0.677,0.2904,0.2905,3
/watson/data/ml/results/cbt-dist/139/139_-ehd_384_-sed_128.out,0.62,0.6775,0.29,0.2875,2
/watson/data/ml/results/cbt-dist/1823/1823_-ehd_384_-sed_128.out,0.6284,0.6755,0.2912,0.287,3
/watson/data/ml/results/cbt-dist/1863/1863_-ehd_384_-sed_128.out,0.6144,0.6725,0.2908,0.2885,2
/watson/data/ml/results/cbt-dist/1803/1803_-ehd_384_-sed_128.out,0.6304,0.67,0.2896,0.287,2
/watson/data/ml/results/cbt-dist/88/88_-ehd_384_-sed_128.out,0.6416,0.675,0.2924,0.287,2
/watson/data/ml/results/cbt-dist/1995/1995_-ehd_384_-sed_128.out,0.6356,0.6815,0.29,0.2905,3
/watson/data/ml/results/cbt-dist/1875/1875_-ehd_384_-sed_128.out,0.6116,0.665,0.2912,0.2885,4
/watson/data/ml/results/cbt-dist/44/44_-ehd_384_-sed_128.out,0.6408,0.6845,0.2884,0.29,3
/watson/data/ml/results/cbt-dist/1797/1797_-ehd_384_-sed_128.out,0.6216,0.6755,0.2908,0.288,2
/watson/data/ml/results/cbt-dist/82/82_-ehd_384_-sed_128.out,0.6336,0.671,0.2932,0.2905,3
/watson/data/ml/results/cbt-dist/93/93_-ehd_384_-sed_128.out,0.6328,0.672,0.2948,0.2865,2
/watson/data/ml/results/cbt-dist/64/64_-ehd_384_-sed_128.out,0.622,0.677,0.2908,0.288,3
/watson/data/ml/results/cbt-dist/19/19_-ehd_384_-sed_128.out,0.616,0.665,0.2884,0.2865,1
/watson/data/ml/results/cbt-dist/1840/1840_-ehd_384_-sed_128.out,0.6332,0.6795,0.2888,0.2885,3
/watson/data/ml/results/cbt-dist/1767/1767_-ehd_384_-sed_128.out,0.6304,0.678,0.288,0.288,3
/watson/data/ml/results/cbt-dist/102/102_-ehd_384_-sed_128.out,0.6424,0.678,0.2904,0.2895,3
/watson/data/ml/results/cbt-dist/136/136_-ehd_384_-sed_128.out,0.644,0.6825,0.2916,0.2875,3
/watson/data/ml/results/cbt-dist/1770/1770_-ehd_384_-sed_128.out,0.632,0.678,0.29,0.2875,3
/watson/data/ml/results/cbt-dist/51/51_-ehd_384_-sed_128.out,0.6208,0.6765,0.29,0.287,3
/watson/data/ml/results/cbt-dist/1877/1877_-ehd_384_-sed_128.out,0.6304,0.677,0.2896,0.2885,3
/watson/data/ml/results/cbt-dist/10/10_-ehd_384_-sed_128.out,0.6396,0.6725,0.288,0.2875,3
/watson/data/ml/results/cbt-dist/146/146_-ehd_384_-sed_128.out,0.6104,0.6775,0.2884,0.2885,3
/watson/data/ml/results/cbt-dist/24/24_-ehd_384_-sed_128.out,0.6196,0.669,0.292,0.2935,3
/watson/data/ml/results/cbt-dist/121/121_-ehd_384_-sed_128.out,0.6268,0.6725,0.2928,0.289,2
/watson/data/ml/results/cbt-dist/28/28_-ehd_384_-sed_128.out,0.6368,0.68,0.29,0.2855,3
/watson/data/ml/results/cbt-dist/23/23_-ehd_384_-sed_128.out,0.6404,0.675,0.2908,0.2875,3
/watson/data/ml/results/cbt-dist/113/113_-ehd_384_-sed_128.out,0.644,0.6765,0.2916,0.2875,2
/watson/data/ml/results/cbt-dist/1897/1897_-ehd_384_-sed_128.out,0.6444,0.676,0.2904,0.29,3
/watson/data/ml/results/cbt-dist/130/130_-ehd_384_-sed_128.out,0.6388,0.687,0.2912,0.287,3
/watson/data/ml/results/cbt-dist/1965/1965_-ehd_384_-sed_128.out,0.6308,0.6735,0.2924,0.2895,2
/watson/data/ml/results/cbt-dist/1825/1825_-ehd_384_-sed_128.out,0.6372,0.681,0.2932,0.289,2
/watson/data/ml/results/cbt-dist/153/153_-ehd_384_-sed_128.out,0.6464,0.6725,0.2924,0.2885,3
/watson/data/ml/results/cbt-dist/1798/1798_-ehd_384_-sed_128.out,0.6216,0.6695,0.2904,0.2895,1
/watson/data/ml/results/cbt-dist/148/148_-ehd_384_-sed_128.out,0.6384,0.671,0.2888,0.289,3
/watson/data/ml/results/cbt-dist/1984/1984_-ehd_384_-sed_128.out,0.6208,0.679,0.2912,0.288,2
/watson/data/ml/results/cbt-dist/1828/1828_-ehd_384_-sed_128.out,0.6284,0.6775,0.2924,0.291,2
/watson/data/ml/results/cbt-dist/90/90_-ehd_384_-sed_128.out,0.6356,0.674,0.2948,0.2885,2
/watson/data/ml/results/cbt-dist/141/141_-ehd_384_-sed_128.out,0.6272,0.68,0.2904,0.29,3
/watson/data/ml/results/cbt-dist/1867/1867_-ehd_384_-sed_128.out,0.6388,0.6745,0.2896,0.29,3
